X1,X2
0.9761904761904762,0.07865168539325842
0.7261904761904762,0.10294117647058823
0.8072289156626506,0.0821917808219178
0.5476190476190477,0.08
0.9761904761904762,0.06818181818181818
0.9761904761904762,0.06818181818181818
0.9761904761904762,0.07865168539325842
0.32142857142857145,0.1
0.7261904761904762,0.08955223880597014
0.6987951807228916,0.07936507936507936
0,NA
0.9166666666666666,0.07228915662650602
0.9642857142857143,0.07954545454545454
0.9523809523809523,0.08045977011494253
0.8690476190476191,0.0759493670886076
0.05952380952380952,0.4444444444444444
0.9879518072289156,0.07865168539325842
NA,NA
0.6904761904761905,0.09375
0.7023809523809523,0.10606060606060606
0.8809523809523809,0.05128205128205128
0.9761904761904762,0.07865168539325842
0.9285714285714286,0.07142857142857142
0.7380952380952381,0.10144927536231885
0.7261904761904762,0.10294117647058823
0.6904761904761905,0.09375
0.9404761904761905,0.08139534883720931
0.9761904761904762,0.07865168539325842
NA,NA
0.5952380952380952,0.10714285714285714
0.6190476190476191,0.10344827586206896
0.9642857142857143,0.03571428571428571
0.9761904761904762,0.07865168539325842
0.7380952380952381,0.10144927536231885
0.9047619047619048,0.05
0.7857142857142857,0.0958904109589041
0.9523809523809523,0.08045977011494253
0.75,0.08695652173913043
0.7261904761904762,0.10294117647058823
0.9642857142857143,0.05813953488372093
0.9761904761904762,0.07865168539325842
0.7261904761904762,0.10294117647058823
NA,NA
0.9880952380952381,0.07777777777777778
0.7228915662650602,0.1044776119402985
0.6904761904761905,0.1076923076923077
NA,NA
0.9166666666666666,0.0375
0.8809523809523809,0.08641975308641975
0.9761904761904762,0.07865168539325842
0.8809523809523809,0.08641975308641975
0.9518072289156626,0.08139534883720931
0.75,0.1
0.9156626506024096,0.07317073170731707
