X1,X2,X3,X4
0.464285714,0,0.428571429,0
0.547619048,0,0.535714286,0
0.547619048,0,0.5,0
0.5,0,0.488095238,0
0.5,0,0.452380952,0
0.464285714,0,0.452380952,0
0.392857143,0,0.392857143,0
0.369047619,0,0.357142857,0
0.511904762,0,0.511904762,0
0.523809524,0,0.380952381,0
0.5,0,0.5,0
0.535714286,0,0.511904762,0
0.476190476,0,0.452380952,0
0.511904762,0,0.488095238,0
0.488095238,0,0.476190476,0
0.488095238,0,0.476190476,0
0.25,0,0.202380952,0
0.523809524,0,0.511904762,0
0.5,0,0.488095238,0
0.5,0,0.5,0
0.535714286,0,0.404761905,0
0.369047619,0,0.369047619,0
0.5,0,0.428571429,0
0.523809524,0,0.5,0
0.5,0,0.464285714,0
0.452380952,0,0.404761905,0
0.511904762,0,0.511904762,0
0.392857143,0,0.392857143,0
0.535714286,0,0.523809524,0
0.523809524,0,0.5,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.142857143,1,0.076923077
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0.076923077
1,0.333333333,1,0.333333333
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0.076923077
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0.076923077
1,0,1,0
1,0,1,0
1,0.076923077,1,0.076923077
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.25,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.916666667,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.4,1,0.4
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0.076923077,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
